Sub-network,Date,MACS,SST-2 Acc
"{'num_layers': [11], 'num_attention_heads': [8, 10, 6, 10, 8, 6, 12, 12, 6, 6, 8, 10], 'intermediate_size': [2048, 3072, 2048, 2048, 1024, 1024, 2048, 3072, 3072, 2048, 2048, 2048]}",50:41.2,7141557888,0.917431193
"{'num_layers': [6], 'num_attention_heads': [12, 12, 6, 8, 8, 6, 8, 6, 6, 8, 10, 10], 'intermediate_size': [2048, 3072, 2048, 1024, 3072, 1024, 1024, 2048, 3072, 1024, 1024, 3072]}",50:50.6,3835463296,0.887614679
"{'num_layers': [7], 'num_attention_heads': [6, 6, 10, 10, 8, 10, 12, 8, 10, 12, 8, 8], 'intermediate_size': [2048, 3072, 1024, 3072, 1024, 3072, 2048, 2048, 1024, 1024, 3072, 1024]}",51:01.3,4712269440,0.904816514
"{'num_layers': [10], 'num_attention_heads': [8, 12, 8, 8, 6, 6, 10, 6, 10, 12, 12, 6], 'intermediate_size': [3072, 1024, 1024, 2048, 3072, 2048, 1024, 1024, 3072, 3072, 1024, 1024]}",51:07.2,6373803648,0.90940367
"{'num_layers': [8], 'num_attention_heads': [10, 6, 10, 6, 6, 8, 8, 6, 8, 6, 8, 10], 'intermediate_size': [1024, 2048, 2048, 1024, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 2048]}",51:12.2,3852633728,0.893348624
"{'num_layers': [7], 'num_attention_heads': [12, 8, 6, 12, 12, 6, 8, 8, 10, 12, 6, 10], 'intermediate_size': [1024, 2048, 3072, 2048, 1024, 3072, 3072, 1024, 1024, 2048, 1024, 2048]}",51:14.7,4766795392,0.899082569
"{'num_layers': [8], 'num_attention_heads': [10, 12, 12, 6, 6, 12, 8, 6, 6, 10, 6, 8], 'intermediate_size': [2048, 2048, 3072, 1024, 1024, 1024, 1024, 3072, 1024, 3072, 2048, 3072]}",51:25.9,4783769216,0.895642202
"{'num_layers': [10], 'num_attention_heads': [6, 10, 10, 12, 6, 8, 12, 12, 12, 10, 6, 12], 'intermediate_size': [1024, 3072, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 2048, 1024, 3072]}",51:39.4,6298306176,0.911697248
"{'num_layers': [6], 'num_attention_heads': [10, 8, 6, 10, 6, 6, 12, 8, 8, 10, 6, 8], 'intermediate_size': [3072, 2048, 2048, 3072, 1024, 1024, 1024, 2048, 3072, 2048, 1024, 2048]}",51:41.7,3671885440,0.885321101
"{'num_layers': [9], 'num_attention_heads': [10, 10, 6, 12, 10, 10, 8, 12, 8, 12, 8, 10], 'intermediate_size': [2048, 3072, 3072, 1024, 3072, 3072, 3072, 3072, 3072, 3072, 3072, 1024]}",51:45.8,7178913408,0.918577982
