Sub-network,Date,Model Parameters,Latency (ms),Model Size,Top-1 Acc (%)
"{'wid': None, 'd': [2, 0, 0, 2, 1], 'e': [0.2, 0.2, 0.2, 0.35, 0.2, 0.35, 0.35, 0.35, 0.2, 0.35, 0.25, 0.2, 0.2, 0.2, 0.2, 0.2, 0.35, 0.35], 'w': [0, 2, 0, 2, 2, 2], 'r': [224], 'q_bits': [32, 8, 32, 32, 8, 8, 32, 32, 32, 8, 8, 32, 8, 8, 32, 8, 32, 32, 32, 8, 32, 8, 32, 8, 32, 32, 8, 8, 8, 8, 32, 8, 8, 8, 32, 32, 32, 32, 8, 32, 32, 8, 32, 8, 8, 8, 8, 32, 32, 32, 8, 32, 8, 8, 8, 32, 32, 32, 8, 8, 32], 'q_weights_mode': ['symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric']}",2024-01-18 13:13:24.069257,0,0.4349373353240031,0,78.839228553137
"{'wid': None, 'd': [2, 0, 1, 2, 2], 'e': [0.25, 0.2, 0.35, 0.35, 0.35, 0.2, 0.35, 0.25, 0.25, 0.35, 0.35, 0.25, 0.25, 0.35, 0.25, 0.2, 0.2, 0.2], 'w': [0, 1, 0, 2, 2, 0], 'r': [224], 'q_bits': [8, 8, 8, 8, 8, 8, 8, 32, 8, 8, 32, 32, 8, 8, 32, 8, 32, 32, 8, 8, 8, 32, 32, 32, 32, 32, 8, 8, 8, 32, 32, 8, 8, 8, 8, 32, 8, 32, 8, 32, 32, 8, 8, 32, 8, 8, 8, 8, 8, 8, 32, 32, 32, 8, 32, 8, 8, 32, 8, 32, 32], 'q_weights_mode': ['asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric']}",2024-01-18 13:18:07.040043,0,0.240202284707802,0,77.96094750320103
"{'wid': None, 'd': [2, 2, 0, 1, 1], 'e': [0.35, 0.2, 0.35, 0.25, 0.2, 0.35, 0.35, 0.25, 0.35, 0.25, 0.25, 0.2, 0.2, 0.35, 0.25, 0.25, 0.2, 0.2], 'w': [1, 0, 2, 1, 0, 2], 'r': [224], 'q_bits': [32, 32, 8, 8, 8, 8, 8, 32, 8, 32, 8, 8, 32, 32, 8, 32, 8, 8, 8, 32, 32, 8, 8, 8, 8, 32, 8, 8, 32, 32, 8, 32, 8, 8, 32, 8, 32, 8, 8, 32, 32, 32, 8, 8, 8, 8, 32, 32, 32, 8, 32, 32, 32, 32, 8, 8, 32, 8, 32, 8, 8], 'q_weights_mode': ['asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric']}",2024-01-18 13:24:32.344273,0,0.49272138847416597,0,77.97495198463508
"{'wid': None, 'd': [1, 1, 0, 0, 2], 'e': [0.35, 0.2, 0.2, 0.25, 0.2, 0.2, 0.35, 0.35, 0.25, 0.2, 0.35, 0.2, 0.2, 0.25, 0.2, 0.25, 0.35, 0.35], 'w': [2, 2, 1, 1, 2, 2], 'r': [224], 'q_bits': [32, 32, 8, 32, 32, 32, 8, 32, 32, 8, 32, 32, 8, 32, 8, 32, 32, 32, 8, 8, 8, 8, 32, 8, 8, 8, 32, 32, 32, 32, 32, 8, 8, 32, 32, 8, 32, 32, 8, 32, 32, 32, 32, 8, 32, 8, 32, 32, 32, 8, 32, 32, 32, 8, 32, 8, 8, 32, 8, 8, 32], 'q_weights_mode': ['symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric']}",2024-01-18 13:33:05.762981,0,0.7193119582463614,0,78.47711267605634
"{'wid': None, 'd': [1, 1, 2, 1, 2], 'e': [0.2, 0.25, 0.2, 0.35, 0.35, 0.35, 0.25, 0.35, 0.35, 0.25, 0.25, 0.25, 0.35, 0.35, 0.25, 0.25, 0.2, 0.2], 'w': [1, 1, 0, 1, 2, 2], 'r': [224], 'q_bits': [32, 32, 8, 32, 32, 8, 32, 8, 32, 32, 32, 32, 32, 8, 8, 8, 8, 32, 32, 8, 32, 32, 32, 8, 8, 32, 8, 32, 8, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 8, 8, 8, 32, 8, 8, 8, 8, 32, 32, 32, 8, 8, 32, 8, 32, 8, 32, 8, 8, 32], 'q_weights_mode': ['symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric']}",2024-01-18 13:41:10.734651,0,0.6167504416873627,0,79.25936299615877
"{'wid': None, 'd': [1, 0, 2, 0, 2], 'e': [0.2, 0.25, 0.2, 0.2, 0.2, 0.2, 0.25, 0.35, 0.35, 0.35, 0.25, 0.25, 0.2, 0.25, 0.35, 0.25, 0.35, 0.25], 'w': [1, 2, 2, 1, 1, 0], 'r': [224], 'q_bits': [8, 32, 32, 32, 8, 8, 8, 8, 32, 8, 8, 32, 32, 32, 8, 32, 32, 8, 32, 32, 32, 32, 32, 8, 8, 32, 32, 32, 32, 32, 8, 32, 8, 32, 32, 32, 8, 32, 8, 32, 32, 8, 8, 32, 32, 32, 8, 8, 32, 8, 32, 32, 32, 8, 8, 8, 8, 32, 8, 32, 8], 'q_weights_mode': ['symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric']}",2024-01-18 13:47:11.565662,0,0.42155794523977175,0,78.04697503201024
"{'wid': None, 'd': [2, 2, 1, 2, 0], 'e': [0.25, 0.35, 0.35, 0.25, 0.25, 0.35, 0.35, 0.25, 0.35, 0.2, 0.35, 0.2, 0.2, 0.35, 0.35, 0.25, 0.2, 0.35], 'w': [0, 1, 0, 2, 2, 0], 'r': [224], 'q_bits': [32, 8, 32, 8, 8, 32, 8, 32, 32, 32, 32, 8, 8, 32, 8, 8, 8, 8, 32, 8, 32, 8, 8, 32, 32, 32, 32, 8, 32, 32, 8, 8, 32, 32, 32, 32, 32, 32, 32, 8, 32, 32, 8, 8, 32, 32, 32, 32, 8, 32, 32, 8, 8, 32, 32, 8, 32, 8, 8, 32, 8], 'q_weights_mode': ['symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric']}",2024-01-18 13:55:08.969380,0,0.5820097720515004,0,78.13700384122919
"{'wid': None, 'd': [2, 2, 2, 2, 1], 'e': [0.35, 0.35, 0.35, 0.2, 0.25, 0.35, 0.2, 0.25, 0.35, 0.25, 0.25, 0.2, 0.35, 0.25, 0.2, 0.25, 0.25, 0.2], 'w': [1, 0, 2, 1, 2, 2], 'r': [224], 'q_bits': [32, 8, 32, 32, 8, 8, 32, 8, 8, 8, 8, 32, 8, 8, 8, 8, 8, 8, 8, 32, 8, 8, 32, 8, 8, 32, 8, 8, 8, 8, 8, 32, 8, 32, 8, 8, 32, 8, 8, 32, 8, 8, 32, 32, 32, 8, 32, 8, 8, 32, 32, 8, 8, 32, 32, 32, 8, 32, 32, 8, 8], 'q_weights_mode': ['asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric']}",2024-01-18 14:01:29.778873,0,0.47345103258491106,0,79.47543213828425
"{'wid': None, 'd': [0, 0, 1, 2, 1], 'e': [0.25, 0.25, 0.2, 0.2, 0.2, 0.35, 0.35, 0.25, 0.2, 0.2, 0.35, 0.35, 0.2, 0.2, 0.35, 0.35, 0.2, 0.25], 'w': [1, 1, 1, 0, 1, 1], 'r': [224], 'q_bits': [32, 8, 8, 8, 8, 8, 8, 32, 32, 32, 32, 32, 32, 32, 8, 8, 32, 32, 8, 32, 32, 32, 8, 8, 32, 8, 8, 8, 32, 8, 8, 32, 32, 32, 8, 8, 32, 32, 8, 8, 32, 8, 32, 8, 32, 8, 32, 8, 32, 8, 32, 32, 32, 32, 32, 8, 32, 8, 32, 8, 32], 'q_weights_mode': ['asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric']}",2024-01-18 14:06:18.748566,0,0.3299697257306076,0,78.26304417413573
"{'wid': None, 'd': [0, 1, 0, 1, 2], 'e': [0.2, 0.35, 0.35, 0.2, 0.2, 0.2, 0.35, 0.25, 0.25, 0.35, 0.35, 0.35, 0.2, 0.25, 0.25, 0.25, 0.25, 0.25], 'w': [1, 2, 2, 0, 2, 2], 'r': [224], 'q_bits': [32, 8, 32, 8, 32, 32, 32, 8, 32, 8, 8, 32, 32, 32, 8, 8, 32, 32, 32, 8, 8, 32, 32, 8, 32, 32, 8, 8, 32, 32, 8, 8, 8, 8, 8, 32, 8, 8, 32, 8, 32, 8, 8, 8, 8, 32, 8, 32, 32, 8, 32, 32, 32, 8, 8, 32, 32, 8, 32, 32, 32], 'q_weights_mode': ['asymmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'asymmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'asymmetric', 'symmetric', 'symmetric', 'symmetric', 'asymmetric', 'asymmetric']}",2024-01-18 14:12:53.984539,0,0.504162937162431,0,78.86123559539053
